Category,Furniture,
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",1088.64,16
"Barricks Coffee Table, Adjustable Height",5977.6315,38
"Barricks Coffee Table, Fully Assembled",3190.2741,15
"Barricks Coffee Table, Rectangular",3140.235,18
"Barricks Coffee Table, with Bottom Storage",1125.6,7
"Barricks Computer Table, Adjustable Height",3098.0885,12
"Barricks Computer Table, Fully Assembled",10620.2178,41
"Barricks Computer Table, with Bottom Storage",8672.542,24
"Barricks Conference Table, Adjustable Height",6425.508,14
"Barricks Conference Table, Fully Assembled",14930.505,21
"Barricks Conference Table, Rectangular",3663.8325,10
"Barricks Conference Table, with Bottom Storage",6500.74,13
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",136.464,2
"Barricks Round Table, Adjustable Height",3232.075,13
"Barricks Round Table, Fully Assembled",6716.4596,20
"Barricks Round Table, Rectangular",1622.01,5
"Barricks Round Table, with Bottom Storage",3635.9475,11
"Barricks Training Table, Adjustable Height",8701.3035,30
"Barricks Training Table, Fully Assembled",3266.9835,22
"Barricks Training Table, Rectangular",5325.5682,25
"Barricks Training Table, with Bottom Storage",2316.163,14
"Barricks Wood Table, Adjustable Height",3858.792,18
"Barricks Wood Table, Fully Assembled",4043.52,12
"Barricks Wood Table, Rectangular",2603.37,6
"Barricks Wood Table, with Bottom Storage",5374.3489,17
Bestar Classic Bookcase,1897.8102,31
Bevis 36 x 72 Conference Tables,4332.252,40
Bevis 44 x 96 Conference Tables,3253.22,20
Bevis Boat-Shaped Conference Table,2542.467,15
"Bevis Coffee Table, Adjustable Height",3373.4961,15
"Bevis Coffee Table, Fully Assembled",1816.6775,11
"Bevis Coffee Table, Rectangular",1789.25,10
"Bevis Coffee Table, with Bottom Storage",827.268,4
"Bevis Computer Table, Adjustable Height",3674.272,11
"Bevis Computer Table, Fully Assembled",11177.8962,43
"Bevis Computer Table, with Bottom Storage",2682.234,9
"Bevis Conference Table, Fully Assembled",14886.9507,26
"Bevis Conference Table, Rectangular",3685.32,7
"Bevis Conference Table, with Bottom Storage",7399.3176,12
"Bevis Oval Conference Table, Walnut",6942.068,36
Bevis Rectangular Conference Tables,1007.262,13
"Bevis Round Bullnose 29"" High Table Top",4544.925,24
Bevis Round Conference Room Tables and Bases,519.941,4
Bevis Round Conference Table Top & Single Column Base,2297.538,19
"Bevis Round Conference Table Top, X-Base",2671.421,20
"Bevis Round Table, Adjustable Height",5654.796,22
"Bevis Round Table, Fully Assembled",3395.112,12
"Bevis Round Table, Rectangular",8107.7472,23
"Bevis Round Table, with Bottom Storage",2710.1337,7
Bevis Steel Folding Chairs,1775.075,24
"Bevis Traditional Conference Table Top, Plinth Base",2033.496,9
"Bevis Training Table, Adjustable Height",4547.2994,22
"Bevis Training Table, Fully Assembled",2968.6105,18
"Bevis Training Table, Rectangular",3929.6325,15
"Bevis Training Table, with Bottom Storage",669.96,5
"Bevis Wood Table, Adjustable Height",2607.56,8
"Bevis Wood Table, Fully Assembled",2065.4088,7
"Bevis Wood Table, Rectangular",5179.005,13
"Bevis Wood Table, with Bottom Storage",11134.662,34
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.25,15
BPI Conference Tables,2241.8675,26
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,5634.9,17
Bretford CR4500 Series Slim Rectangular Table,7242.768,29
Bretford CR8500 Series Meeting Room Furniture,6776.562,21
Bretford Rectangular Conference Table Tops,12995.2915,46
"Bush 3-Shelf Cabinet, Metal",5695.1082,49
"Bush 3-Shelf Cabinet, Mobile",5260.7934,51
"Bush 3-Shelf Cabinet, Pine",3236.904,29
"Bush 3-Shelf Cabinet, Traditional",6111.8631,51
Bush Advantage Collection Racetrack Conference Table,9544.725,33
Bush Advantage Collection Round Conference Table,3401.6,19
"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.7235,34
"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.232,12
"Bush Birmingham Collection Bookcase, Dark Cherry",825.174,9
"Bush Classic Bookcase, Metal",23540.063,72
"Bush Classic Bookcase, Mobile",19021.696,55
"Bush Classic Bookcase, Pine",16754.414,50
"Bush Classic Bookcase, Traditional",26535.324,79
"Bush Corner Shelving, Metal",6007.9,69
"Bush Corner Shelving, Mobile",6831.9617,77
"Bush Corner Shelving, Pine",6775.4626,71
"Bush Corner Shelving, Traditional",5044.3265,58
"Bush Cubix Collection Bookcases, Fully Assembled",729.234,4
"Bush Cubix Conference Tables, Fully Assembled",3603.288,19
"Bush Floating Shelf Set, Metal",7695.9393,58
"Bush Floating Shelf Set, Mobile",8055.7458,57
"Bush Floating Shelf Set, Pine",7630.9548,58
"Bush Floating Shelf Set, Traditional",4805.8362,37
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056,34
"Bush Library with Doors, Metal",28516.7142,88
"Bush Library with Doors, Mobile",16642.308,60
"Bush Library with Doors, Pine",9028.3923,41
"Bush Library with Doors, Traditional",15260.1504,64
Bush Mission Pointe Library,748.8608,6
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,1
Bush Somerset Collection Bookcase,1263.957,12
"Bush Stackable Bookrack, Mobile",6443.105,64
"Bush Stackable Bookrack, Pine",15633.668,165
"Bush Stackable Bookrack, Traditional",6732.1976,64
"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.376,14
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882,3
"Bush Westfield Collection Bookcases, Fully Assembled",1473.2982,18
"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.8878,32
"Career Cubicle Clock, 8 1/4"", Black",194.688,10
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.176,22
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.644,11
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64,27
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.89,18
"Chromcraft Coffee Table, Adjustable Height",2917.2,16
"Chromcraft Coffee Table, Fully Assembled",1226.424,19
"Chromcraft Coffee Table, Rectangular",1442.397,11
"Chromcraft Coffee Table, with Bottom Storage",1367.5008,7
"Chromcraft Computer Table, Adjustable Height",7582.967,22
"Chromcraft Computer Table, Fully Assembled",2550.76,11
"Chromcraft Computer Table, Rectangular",1411.2,6
"Chromcraft Computer Table, with Bottom Storage",13829.1036,43
"Chromcraft Conference Table, Adjustable Height",4520.11,10
"Chromcraft Conference Table, Fully Assembled",8042.088,12
"Chromcraft Conference Table, Rectangular",10210.816,20
"Chromcraft Conference Table, with Bottom Storage",13700.919,22
Chromcraft Rectangular Conference Tables,4952.673,30
Chromcraft Round Conference Tables,8209.059,61
"Chromcraft Round Table, Adjustable Height",8312.6902,31
"Chromcraft Round Table, Fully Assembled",3576.751,14
"Chromcraft Round Table, Rectangular",3252.69,11
"Chromcraft Round Table, with Bottom Storage",4881.195,18
"Chromcraft Training Table, Adjustable Height",38.144,1
"Chromcraft Training Table, Fully Assembled",606.8656,4
"Chromcraft Training Table, Rectangular",2141.9106,14
"Chromcraft Training Table, with Bottom Storage",2146.2084,12
"Chromcraft Wood Table, Adjustable Height",4944.042,14
"Chromcraft Wood Table, Fully Assembled",2807.142,9
"Chromcraft Wood Table, Rectangular",4724.0856,20
"Chromcraft Wood Table, with Bottom Storage",4149.672,13
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",514.556,13
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,137.17,31
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",136.344,28
Coloredge Poster Frame,298.2,21
"Computer Room Manger, 14""",636.608,22
Contemporary Borderless Frame,36.162,6
Contemporary Wood/Metal Frame,193.92,18
"Contract Clock, 14"", Brown",334.096,21
"Dana Fluorescent Magnifying Lamp, White, 36""",581.172,14
Dana Halogen Swing-Arm Architect Lamp,1114.384,28
Dana Swing-Arm Lamps,108.936,15
"Dania 3-Shelf Cabinet, Metal",4541.999,43
"Dania 3-Shelf Cabinet, Mobile",7227.294,56
"Dania 3-Shelf Cabinet, Pine",7484.624,70
"Dania 3-Shelf Cabinet, Traditional",4789.0255,41
"Dania Classic Bookcase, Metal",17612.112,51
"Dania Classic Bookcase, Mobile",14794.0464,47
"Dania Classic Bookcase, Pine",25630.4946,88
"Dania Classic Bookcase, Traditional",15047.508,56
"Dania Corner Shelving, Metal",7417.381,85
"Dania Corner Shelving, Mobile",5444.1677,57
"Dania Corner Shelving, Pine",6999.1482,88
"Dania Corner Shelving, Traditional",9698.0546,89
"Dania Floating Shelf Set, Metal",9772.4109,68
"Dania Floating Shelf Set, Mobile",5474.0595,47
"Dania Floating Shelf Set, Pine",3641.6,32
"Dania Floating Shelf Set, Traditional",6479.331,58
"Dania Library with Doors, Metal",16910.924,63
"Dania Library with Doors, Mobile",14971.4512,56
"Dania Library with Doors, Pine",17708.5625,69
"Dania Library with Doors, Traditional",21495.152,76
"Dania Stackable Bookrack, Mobile",5418.861,63
"Dania Stackable Bookrack, Pine",12629.124,126
"Dania Stackable Bookrack, Traditional",7829.9175,80
"DataProducts Ampli Magnifier Task Lamp, Black,",508.728,21
DAX Black Cherry Wood-Tone Poster Frame,455.456,24
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",168.744,23
Dax Clear Box Frame,96.03,14
DAX Clear Channel Poster Frame,119.556,10
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",291.456,15
"DAX Copper Panel Document Frame, 5 x 7 Size",171.088,18
DAX Cubicle Frames - 8x10,125.786,26
"DAX Cubicle Frames, 8-1/2 x 11",145.69,17
"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",196.248,17
"DAX Metal Frame, Desktop, Stepped-Edge",161.92,11
DAX Natural Wood-Tone Poster Frame,513.712,23
DAX Solid Wood Frames,113.332,13
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",216.144,25
DAX Two-Tone Silver Metal Document Frame,234.784,13
"DAX Value U-Channel Document Frames, Easel Back",175.938,36
DAX Wood Document Frame,477.804,40
DAX Wood Document Frame.,159.268,16
"Deflect-O Clock, Black",3312.2427,102
"Deflect-O Clock, Duo Pack",2555.6059,58
"Deflect-O Clock, Durable",2912.988,82
"Deflect-O Clock, Erganomic",2853.7607,74
"Deflect-O Door Stop, Black",2530.348,89
"Deflect-O Door Stop, Duo Pack",1788.4197,50
"Deflect-O Door Stop, Durable",1974.553,55
"Deflect-O Door Stop, Erganomic",2499.5685,76
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1685.44,18
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",673.87,17
"Deflect-o EconoMat Nonstudded, No Bevel Mat",702.44,14
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",1115.64,33
"Deflect-O Frame, Black",6739.95,85
"Deflect-O Frame, Duo Pack",4879.632,59
"Deflect-O Frame, Durable",6745.41,77
"Deflect-O Frame, Erganomic",7106.364,84
Deflect-o Glass Clear Studded Chair Mats,1579.372,26
Deflect-O Glasstique Clear Desk Accessories,124.74,17
"Deflect-O Light Bulb, Black",975.453,83
"Deflect-O Light Bulb, Duo Pack",589.407,44
"Deflect-O Light Bulb, Durable",359.8092,30
"Deflect-O Light Bulb, Erganomic",1064.1723,79
"Deflect-O Photo Frame, Black",2788.587,64
"Deflect-O Photo Frame, Duo Pack",1914.726,48
"Deflect-O Photo Frame, Durable",2100.4018,56
"Deflect-O Photo Frame, Erganomic",1411.192,37
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.248,26
"Deflect-O Stacking Tray, Black",1713.0685,89
"Deflect-O Stacking Tray, Durable",1331.94,72
"Deflect-O Stacking Tray, Erganomic",1922.8808,115
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",437.7,18
DMI Arturo Collection Mission-style Design Wood Chair,4619.988,37
DMI Eclipse Executive Suite Bookcases,11046.609,27
Document Clip Frames,45.036,6
"Eldon ""L"" Workstation Diamond Chairmat",1002.936,19
Eldon 100 Class Desk Accessories,36.396,18
Eldon 200 Class Desk Accessories,133.136,22
"Eldon 200 Class Desk Accessories, Black",75.36,12
"Eldon 200 Class Desk Accessories, Burgundy",135.648,25
"Eldon 200 Class Desk Accessories, Smoke",138.16,22
"Eldon 300 Class Desk Accessories, Black",29.7,6
"Eldon 400 Class Desk Accessories, Black Carbon",159.25,22
Eldon 500 Class Desk Accessories,197.948,17
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,563.03,13
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,379.4,10
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,1431.944,14
Eldon Cleatmat Chair Mats for Medium Pile Carpets,344.1,8
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,1304.128,20
"Eldon Clock, Black",3051.8916,66
"Eldon Clock, Duo Pack",2398.6148,50
"Eldon Clock, Durable",2259.81,58
"Eldon Clock, Erganomic",1804.916,41
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1200.936,18
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",546.192,17
"Eldon Door Stop, Black",3211.2432,73
"Eldon Door Stop, Duo Pack",1935.144,54
"Eldon Door Stop, Durable",2691.7176,70
"Eldon Door Stop, Erganomic",2523.552,65
Eldon Econocleat Chair Mats for Low Pile Carpets,331.76,8
Eldon Executive Woodline II Cherry Finish Desk Accessories,98.136,6
"Eldon Executive Woodline II Desk Accessories, Mahogany",361.872,17
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",108.08,15
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",262.752,20
Eldon Expressions Mahogany Wood Desk Collection,93.6,15
"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",155.708,20
"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",121.296,13
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",160.54,23
"Eldon Expressions Wood and Plastic Desk Accessories, Oak",149.7,15
"Eldon Expressions Wood Desk Accessories, Oak",183.024,33
"Eldon Frame, Black",2874.0875,34
"Eldon Frame, Duo Pack",5518.9095,65
"Eldon Frame, Durable",7124.9344,80
"Eldon Frame, Erganomic",4349.744,56
Eldon Image Series Black Desk Accessories,48.852,12
"Eldon Image Series Desk Accessories, Burgundy",111.188,31
"Eldon Imàge Series Desk Accessories, Clear",53.46,17
"Eldon Image Series Desk Accessories, Ebony",180.31,18
"Eldon Light Bulb, Black",933.66,61
"Eldon Light Bulb, Duo Pack",1429.716,75
"Eldon Light Bulb, Durable",932.4744,54
"Eldon Light Bulb, Erganomic",782.4076,47
"Eldon Photo Frame, Black",1636.3776,37
"Eldon Photo Frame, Duo Pack",2888.1405,72
"Eldon Photo Frame, Durable",1720.1842,42
"Eldon Photo Frame, Erganomic",2188.2652,59
Eldon Pizzaz Desk Accessories,37.464,19
Eldon Radial Chair Mat for Low to Medium Pile Carpets,775.612,20
"Eldon Regeneration Recycled Desk Accessories, Black",39.688,9
"Eldon Regeneration Recycled Desk Accessories, Smoke",33.756,21
"Eldon Stackable Tray, Side-Load, Legal, Smoke",155.38,17
"Eldon Stacking Tray, Black",1038.45,43
"Eldon Stacking Tray, Duo Pack",1721.9136,72
"Eldon Stacking Tray, Durable",1639.0485,70
"Eldon Stacking Tray, Erganomic",996.1688,44
Eldon Wave Desk Accessories,266.73,61
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,168.84,13
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2863.8,33
Electrix Fluorescent Magnifier Lamps & Weighted Base,463.796,11
Electrix Halogen Magnifier Lamp,2759.06,17
"Electrix Incandescent Magnifying Lamp, Black",117.28,5
"Executive Impressions 10"" Spectator Wall Clock",258.72,22
"Executive Impressions 12"" Wall Clock",176.7,14
"Executive Impressions 13"" Chairman Wall Clock",253.8,11
"Executive Impressions 13"" Clairmont Wall Clock",315.372,20
"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",56.1,3
"Executive Impressions 14""",377.91,17
"Executive Impressions 14"" Contract Wall Clock",346.788,17
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",97.812,8
"Executive Impressions 14"" Two-Color Numerals Wall Clock",308.992,16
"Executive Impressions 16-1/2"" Circular Wall Clock",58.784,4
"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",66.56,7
Executive Impressions Supervisor Wall Clock,867.26,21
Flat Face Poster Frame,678.24,51
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",434.56,24
G.E. Halogen Desk Lamp Bulbs,62.82,11
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,81.008,16
"GE 4 Foot Flourescent Tube, 40 Watt",98.868,7
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.056,29
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",45.396,20
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",163.332,15
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,8
Global Adaptabilities Conference Tables,3540.348,14
"Global Airflow Leather Mesh Back Chair, Black",3955.676,32
"Global Armless Task Chair, Royal Blue",1396.442,28
Global Chrome Stack Chair,815.864,32
Global Comet Stacking Arm Chair,6084.144,17
Global Comet Stacking Armless Chair,3528.79,14
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.44,33
Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.056,24
Global Deluxe High-Back Manager's Chair,8665.194,35
Global Deluxe High-Back Office Chair in Storm,1087.92,10
Global Deluxe Office Fabric Chairs,1420.504,17
"Global Deluxe Stacking Chair, Gray",764.7,19
Global Deluxe Steno Chair,1770.54,29
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,10
Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,207.184,1
Global Ergonomic Managers Chair,6008.536,39
Global Executive Mid-Back Manager's Chair,4626.582,18
"Global Fabric Manager's Chair, Dark Gray",3150.576,35
"Global Geo Office Task Chair, Gray",1757.266,25
Global Highback Leather Tilter in Burgundy,2647.809,34
"Global High-Back Leather Tilter, Burgundy",5436.158,54
Global Italian Leather Office Chair,969.252,8
"Global Leather & Oak Executive Chair, Burgundy",1689.968,13
"Global Leather and Oak Executive Chair, Black",6410.874,26
Global Leather Executive Chair,5861.533,21
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.204,39
"Global Leather Task Chair, Black",1448.839,19
Global Low Back Tilter Chair,1746.954,21
"Global Manager's Adjustable Task Chair, Storm",2959.208,23
"Global Push Button Manager's Chair, Indigo",2185.951,44
"Global Stack Chair with Arms, Black",803.464,31
"Global Stack Chair without Arms, Black",901.506,44
Global Super Steno Chair,2389.902,30
"Global Task Chair, Black",463.099,12
Global Troy Executive Leather Low-Back Tilter,12975.382,32
"Global Value Mid-Back Manager's Chair, Gray",1978.925,39
"Global Value Steno Chair, Gray",2204.862,43
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.884,59
GuestStacker Chair with Chrome Finish Legs,9070.944,31
Hand-Finished Solid Wood Document Frame,260.148,8
Harbour Creations 67200 Series Stacking Chairs,1501.898,24
"Harbour Creations Bag Chairs, Adjustable",3520.9212,80
"Harbour Creations Bag Chairs, Black",3487.2775,76
"Harbour Creations Bag Chairs, Red",3211.8398,72
"Harbour Creations Bag Chairs, Set of Two",2422.3762,51
"Harbour Creations Chairmat, Adjustable",3819.3506,64
"Harbour Creations Chairmat, Black",7839.6114,158
"Harbour Creations Chairmat, Red",5575.68,95
"Harbour Creations Chairmat, Set of Two",4550.535,82
"Harbour Creations Executive Leather Armchair, Adjustable",50121.516,142
"Harbour Creations Executive Leather Armchair, Black",32230.7392,100
"Harbour Creations Executive Leather Armchair, Red",23517.0012,68
"Harbour Creations Rocking Chair, Adjustable",8074.827,73
"Harbour Creations Rocking Chair, Black",10577.057,95
"Harbour Creations Rocking Chair, Red",5379.5716,48
"Harbour Creations Rocking Chair, Set of Two",7300.7348,80
Harbour Creations Steel Folding Chair,2389.125,34
"Harbour Creations Steel Folding Chair, Adjustable",3938.242,52
"Harbour Creations Steel Folding Chair, Black",6518.6452,87
"Harbour Creations Steel Folding Chair, Red",3636.2872,58
"Harbour Creations Steel Folding Chair, Set of Two",5714.3222,77
"Harbour Creations Swivel Stool, Adjustable",12236.6961,97
"Harbour Creations Swivel Stool, Black",10365.25,86
"Harbour Creations Swivel Stool, Red",16864.6356,135
"Harbour Creations Swivel Stool, Set of Two",13355.563,92
High-Back Leather Manager's Chair,4770.633,42
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,5282.424,24
Hon 2111 Invitation Series Corner Table,3140.55,18
Hon 2111 Invitation Series Straight Table,2040.054,18
"Hon 30"" x 60"" Table with Locking Drawer",1296.028,6
Hon 4060 Series Tables,1231.56,13
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8430.997,34
Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.032,21
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.374,24
Hon 4-Shelf Metal Bookcases,1474.308,22
Hon 5100 Series Wood Tables,5965.09,26
HON 5400 Series Task Chairs for Big and Tall,21870.576,39
Hon 61000 Series Interactive Training Tables,653.121,22
Hon 94000 Series Round Tables,7404.5,30
"Hon Bag Chairs, Adjustable",2746.9224,89
"Hon Bag Chairs, Black",2006.7008,63
"Hon Bag Chairs, Red",2774.016,80
"Hon Bag Chairs, Set of Two",4546.45,138
"Hon Chairmat, Adjustable",3707.478,79
"Hon Chairmat, Black",2881.206,67
"Hon Chairmat, Red",3921.8988,98
"Hon Chairmat, Set of Two",4395.9024,96
"Hon Coffee Table, Adjustable Height",2417.484,11
"Hon Coffee Table, Fully Assembled",1142.532,6
"Hon Coffee Table, with Bottom Storage",3743.415,18
Hon Comfortask Task/Swivel Chairs,1686.904,18
"Hon Computer Table, Adjustable Height",3747.0465,11
"Hon Computer Table, Fully Assembled",6502.7655,25
"Hon Computer Table, with Bottom Storage",5043.186,12
"Hon Conference Table, Adjustable Height",15018.8742,29
"Hon Conference Table, Fully Assembled",1661.31,3
"Hon Conference Table, Rectangular",7588.2895,19
"Hon Conference Table, with Bottom Storage",1750.812,5
Hon Deluxe Fabric Upholstered Stacking Chairs,2586.188,15
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,51
"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",1268.696,7
Hon Every-Day Chair Series Swivel Task Chairs,967.84,10
Hon Every-Day Series Multi-Task Chairs,6748.482,43
"Hon Executive Leather Armchair, Adjustable",58193.4841,169
"Hon Executive Leather Armchair, Black",29244.7696,86
"Hon Executive Leather Armchair, Red",19802.7716,56
Hon GuestStacker Chair,6936.102,34
"Hon Metal Bookcases, Black",1570.0776,30
"Hon Metal Bookcases, Gray",851.76,12
"Hon Metal Bookcases, Putty",1320.228,19
Hon Mobius Operator's Chair,2705.78,23
Hon Multipurpose Stacking Arm Chairs,6584.64,36
Hon Non-Folding Utility Tables,3775.647,29
Hon Olson Stacker Chairs,5427.99,22
Hon Olson Stacker Stools,5294.456,44
Hon Pagoda Stacking Chairs,6483.796,22
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.8275,22
Hon Racetrack Conference Tables,3963.901,22
Hon Rectangular Conference Tables,3481.515,20
"Hon Rocking Chair, Adjustable",8266.131,78
"Hon Rocking Chair, Black",10510.2981,116
"Hon Rocking Chair, Red",8209.467,86
"Hon Rocking Chair, Set of Two",11058.3272,117
"Hon Round Table, Adjustable Height",828.96,3
"Hon Round Table, Fully Assembled",1517.648,8
"Hon Round Table, Rectangular",3423.2,11
"Hon Round Table, with Bottom Storage",6362.89,19
"Hon Steel Folding Chair, Adjustable",5163.262,83
"Hon Steel Folding Chair, Black",3684.8835,74
"Hon Steel Folding Chair, Red",4333.1724,71
"Hon Steel Folding Chair, Set of Two",4554.1581,87
"Hon Swivel Stool, Adjustable",8264.3574,63
"Hon Swivel Stool, Black",19536.6396,158
"Hon Swivel Stool, Red",7706.824,62
"Hon Swivel Stool, Set of Two",6833.974,56
"Hon Training Table, Adjustable Height",5726.619,19
"Hon Training Table, Fully Assembled",5552.7915,22
"Hon Training Table, Rectangular",638.522,5
"Hon Training Table, with Bottom Storage",1064.64,4
Hon Valutask Swivel Chairs,1242.054,13
"Hon Wood Table, Adjustable Height",3129.984,11
"Hon Wood Table, Fully Assembled",6141.408,18
"Hon Wood Table, Rectangular",6805.18,18
"Hon Wood Table, with Bottom Storage",6446.804,18
"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",681.454,17
"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",500.308,14
"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",1184.232,24
"Howard Miller 12"" Round Wall Clock",479.338,14
Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,786.9,14
"Howard Miller 13"" Diameter Goldtone Round Wall Clock",1042.068,27
"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",1047.736,27
